Age,BusinessTravel,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,current_level,availability_projects,primary_skill,secondary_skill,primary_skill_proficiency,secondary_skill_proficiency
28,Travel_Rarely,Research & Development,4,Medical,440,1,Male,1,1,Research Scientist,4,3464,5,Yes,3,4,80,5,4,2,3,2,1,2,Data Analysis,Python,4,3
30,Travel_Rarely,Research & Development,2,Medical,441,4,Female,3,2,Research Scientist,4,5775,1,No,3,4,80,11,2,3,10,8,1,4,Data Analysis,Python,6,5
31,Travel_Frequently,Research & Development,2,Life Sciences,442,3,Female,2,3,Manufacturing Director,3,8943,1,No,4,1,80,10,2,3,10,9,2,3,Operations Management,Process Optimization,8,7
39,Travel_Frequently,Research & Development,2,Medical,444,3,Male,2,5,Manager,4,19272,1,No,3,1,80,21,2,3,21,9,2,1,People Management,Project Planning,7,6
39,Travel_Rarely,Sales,2,Medical,445,4,Female,3,2,Sales Executive,3,5238,4,Yes,3,1,80,12,3,2,1,0,1,2,Sales Strategy,CRM Tools,5,4
33,Travel_Frequently,Sales,3,Marketing,446,2,Male,2,2,Sales Executive,4,4682,3,No,3,3,80,9,6,2,7,7,1,4,Sales Strategy,CRM Tools,5,4
47,Travel_Rarely,Research & Development,5,Life Sciences,447,4,Male,3,5,Research Director,3,18300,4,No,3,2,80,21,2,3,3,2,2,1,Research Leadership,Strategic Planning,6,5
43,Travel_Frequently,Research & Development,4,Life Sciences,448,3,Female,2,2,Laboratory Technician,3,5257,1,No,3,2,80,9,3,4,9,7,1,4,Laboratory Operations,Quality Control,5,4
27,Non-Travel,Sales,1,Marketing,449,3,Male,3,2,Sales Executive,2,6349,0,Yes,3,4,80,6,0,3,5,4,1,1,Sales Strategy,CRM Tools,4,3
54,Travel_Frequently,Research & Development,4,Life Sciences,450,4,Female,3,2,Research Scientist,3,4869,3,No,3,4,80,20,4,2,4,3,1,4,Data Analysis,Python,5,4
43,Travel_Rarely,Research & Development,3,Life Sciences,451,3,Female,3,3,Healthcare Representative,1,9985,8,No,3,1,80,10,1,2,1,0,2,2,Medical Sales,Product Knowledge,6,5
45,Travel_Rarely,Research & Development,4,Other,452,4,Male,3,2,Research Scientist,4,3697,9,No,3,1,80,12,3,3,10,9,1,4,Data Analysis,Python,6,5
40,Travel_Rarely,Sales,2,Medical,453,2,Male,1,2,Sales Executive,4,7457,2,Yes,4,3,80,6,2,2,4,3,1,2,Sales Strategy,CRM Tools,5,4
29,Travel_Rarely,Research & Development,4,Other,454,2,Male,1,1,Laboratory Technician,1,2119,1,Yes,3,4,80,7,4,2,7,7,1,2,Laboratory Operations,Quality Control,5,4
29,Travel_Rarely,Research & Development,5,Other,455,2,Male,2,1,Laboratory Technician,4,3983,0,No,3,3,80,4,2,3,3,2,1,2,Laboratory Operations,Quality Control,3,2
30,Travel_Rarely,Sales,3,Marketing,456,4,Female,2,2,Sales Executive,3,6118,1,No,3,3,80,10,2,3,10,9,1,4,Sales Strategy,CRM Tools,6,5
27,Travel_Rarely,Sales,4,Marketing,458,2,Female,3,2,Sales Executive,2,6214,1,No,3,1,80,8,3,3,8,7,1,3,Sales Strategy,CRM Tools,5,4
37,Travel_Rarely,Research & Development,2,Medical,460,4,Male,3,2,Manufacturing Director,4,6347,7,No,3,3,80,8,2,2,6,2,1,1,Operations Management,Process Optimization,4,3
38,Travel_Rarely,Research & Development,2,Life Sciences,461,3,Male,2,3,Research Director,4,11510,0,Yes,3,2,80,12,3,3,11,10,2,2,Research Leadership,Strategic Planning,7,6
31,Travel_Rarely,Research & Development,4,Medical,462,3,Female,3,3,Manufacturing Director,4,7143,1,Yes,3,3,80,11,2,2,11,9,2,1,Operations Management,Process Optimization,7,6
29,Travel_Rarely,Sales,1,Marketing,463,4,Female,2,2,Sales Executive,2,8268,1,Yes,3,1,80,7,2,3,7,7,1,2,Sales Strategy,CRM Tools,5,4
35,Travel_Rarely,Research & Development,4,Technical Degree,464,3,Male,3,3,Manufacturing Director,2,8095,0,No,3,4,80,17,5,3,16,6,2,2,Operations Management,Process Optimization,7,6
23,Travel_Rarely,Research & Development,1,Life Sciences,465,3,Male,3,1,Research Scientist,4,2904,1,No,3,3,80,4,2,2,4,2,1,3,Data Analysis,Python,3,2
41,Travel_Rarely,Research & Development,3,Medical,466,4,Male,2,2,Manufacturing Director,2,6032,6,Yes,3,4,80,8,3,3,5,4,1,1,Operations Management,Process Optimization,4,3
47,Travel_Frequently,Sales,1,Medical,467,2,Male,3,2,Sales Representative,3,2976,3,No,3,1,80,5,3,3,0,0,1,2,Client Acquisition,Negotiation,4,3
42,Travel_Rarely,Research & Development,5,Life Sciences,468,1,Female,3,4,Research Director,4,15992,2,No,3,2,80,16,2,3,1,0,2,1,Research Leadership,Strategic Planning,6,5
29,Non-Travel,Sales,3,Life Sciences,469,4,Male,3,2,Sales Executive,3,4649,1,No,3,1,80,4,3,2,4,3,1,2,Sales Strategy,CRM Tools,3,2
42,Travel_Rarely,Human Resources,1,Technical Degree,470,3,Male,3,1,Human Resources,3,2696,0,Yes,3,3,80,4,5,3,3,2,1,1,Talent Management,Employee Engagement,3,2
32,Travel_Rarely,Research & Development,3,Medical,471,3,Female,3,1,Laboratory Technician,2,2370,1,No,3,3,80,8,4,3,8,0,1,2,Laboratory Operations,Quality Control,4,3
48,Travel_Rarely,Sales,1,Medical,473,1,Female,3,3,Manager,3,12504,3,No,4,2,80,15,3,1,0,0,2,2,People Management,Project Planning,7,6
37,Travel_Rarely,Research & Development,3,Medical,474,3,Male,4,2,Research Scientist,1,5974,4,Yes,3,1,80,13,2,3,7,7,1,4,Data Analysis,Python,6,5
30,Non-Travel,Sales,2,Technical Degree,475,4,Female,3,2,Sales Executive,3,4736,7,Yes,3,2,80,4,2,4,2,2,1,1,Sales Strategy,CRM Tools,3,2
26,Travel_Rarely,Sales,3,Life Sciences,476,3,Male,3,2,Sales Executive,3,5296,1,No,3,2,80,8,3,3,8,7,1,3,Sales Strategy,CRM Tools,5,4
42,Travel_Rarely,Research & Development,4,Other,477,1,Male,2,2,Healthcare Representative,4,6781,3,No,4,2,80,14,6,3,1,0,1,4,Medical Sales,Product Knowledge,6,5
21,Travel_Frequently,Sales,1,Technical Degree,478,1,Female,2,1,Sales Representative,2,2174,1,Yes,3,3,80,3,3,3,3,2,0,1,Client Acquisition,Negotiation,2,1
36,Non-Travel,Sales,5,Medical,479,4,Female,3,2,Sales Executive,4,6653,4,No,3,2,80,7,6,3,1,0,1,2,Sales Strategy,CRM Tools,4,3
36,Travel_Frequently,Sales,4,Medical,481,1,Male,2,3,Sales Executive,4,9699,4,No,3,1,80,16,2,3,13,9,2,3,Sales Strategy,CRM Tools,7,6
57,Travel_Rarely,Research & Development,4,Medical,482,4,Male,3,2,Healthcare Representative,3,6755,2,No,3,3,80,15,2,3,3,2,1,3,Medical Sales,Product Knowledge,5,4
40,Travel_Rarely,Research & Development,4,Life Sciences,483,4,Female,4,1,Laboratory Technician,3,2213,3,Yes,3,3,80,10,3,3,7,7,2,2,Laboratory Operations,Quality Control,7,6
21,Non-Travel,Sales,2,Medical,484,1,Male,3,1,Sales Representative,4,2610,1,No,4,3,80,3,3,2,3,2,0,2,Client Acquisition,Negotiation,3,2
33,Travel_Rarely,Sales,3,Marketing,485,4,Female,3,1,Sales Representative,3,2851,1,Yes,3,2,80,1,2,3,1,0,0,1,Client Acquisition,Negotiation,2,1
37,Travel_Rarely,Research & Development,3,Medical,486,3,Female,3,1,Laboratory Technician,1,3452,6,No,4,2,80,17,3,3,5,4,2,3,Laboratory Operations,Quality Control,7,6
46,Non-Travel,Research & Development,4,Medical,487,3,Female,3,2,Manufacturing Director,3,5258,2,No,3,3,80,7,2,4,1,0,1,1,Operations Management,Process Optimization,4,3
41,Travel_Frequently,Sales,3,Marketing,488,1,Male,3,2,Sales Executive,2,9355,1,No,3,3,80,8,5,3,8,7,1,3,Sales Strategy,CRM Tools,5,4
50,Travel_Rarely,Research & Development,3,Technical Degree,491,4,Male,2,3,Healthcare Representative,4,10496,6,No,3,4,80,20,2,3,4,3,2,2,Medical Sales,Product Knowledge,6,5
40,Travel_Rarely,Sales,2,Marketing,492,3,Male,2,2,Sales Executive,3,6380,2,Yes,3,1,80,8,6,3,6,4,1,1,Sales Strategy,CRM Tools,4,3
31,Travel_Rarely,Research & Development,4,Life Sciences,493,3,Male,2,1,Research Scientist,2,2657,0,Yes,3,4,80,3,5,3,2,2,0,1,Data Analysis,Python,2,1
21,Travel_Rarely,Sales,3,Life Sciences,494,3,Female,4,1,Sales Representative,2,2716,1,No,3,4,80,1,0,3,1,0,0,1,Client Acquisition,Negotiation,2,1
29,Travel_Rarely,Research & Development,3,Life Sciences,495,4,Male,3,1,Research Scientist,4,2201,9,No,3,4,80,6,4,3,3,2,1,3,Data Analysis,Python,4,3
35,Travel_Rarely,Research & Development,4,Life Sciences,496,3,Male,2,2,Healthcare Representative,2,6540,9,No,3,3,80,10,5,3,1,1,1,3,Medical Sales,Product Knowledge,5,4
27,Travel_Rarely,Research & Development,2,Medical,497,4,Male,3,1,Laboratory Technician,2,3816,1,No,3,2,80,5,2,3,5,2,1,2,Laboratory Operations,Quality Control,4,3
28,Travel_Rarely,Sales,4,Life Sciences,498,2,Male,3,2,Sales Executive,4,5253,1,No,3,4,80,7,1,3,7,5,1,3,Sales Strategy,CRM Tools,5,4
49,Travel_Rarely,Research & Development,3,Other,499,2,Male,2,3,Healthcare Representative,3,10965,8,No,4,3,80,26,2,3,5,2,2,3,Medical Sales,Product Knowledge,7,6
51,Travel_Rarely,Sales,2,Life Sciences,500,3,Female,3,2,Sales Executive,4,4936,4,No,3,3,80,18,2,2,7,7,1,4,Sales Strategy,CRM Tools,6,5
36,Travel_Rarely,Research & Development,3,Life Sciences,501,4,Female,3,1,Research Scientist,3,2543,4,No,3,2,80,6,3,3,2,2,1,3,Data Analysis,Python,4,3
34,Non-Travel,Sales,3,Marketing,502,1,Male,4,2,Sales Executive,4,5304,8,Yes,3,2,80,9,3,2,5,2,1,2,Sales Strategy,CRM Tools,4,3
55,Travel_Rarely,Research & Development,3,Life Sciences,505,3,Female,3,4,Manager,4,16659,2,Yes,3,3,80,30,2,3,5,4,2,1,People Management,Project Planning,6,5
24,Travel_Rarely,Sales,4,Marketing,507,4,Female,3,2,Sales Executive,3,4260,1,Yes,3,4,80,5,2,4,5,2,1,1,Sales Strategy,CRM Tools,4,3
30,Travel_Rarely,Sales,1,Technical Degree,508,3,Male,3,1,Sales Representative,2,2476,1,No,3,1,80,1,3,3,1,0,0,1,Client Acquisition,Negotiation,2,1
26,Travel_Frequently,Research & Development,1,Technical Degree,510,3,Male,3,1,Research Scientist,1,3102,0,No,4,3,80,7,2,3,6,4,1,4,Data Analysis,Python,5,4
22,Travel_Rarely,Research & Development,3,Medical,511,1,Female,3,1,Research Scientist,2,2244,1,No,3,4,80,2,1,3,2,1,0,2,Data Analysis,Python,2,1
36,Travel_Rarely,Sales,2,Medical,513,2,Male,2,3,Sales Executive,3,7596,1,No,3,2,80,10,2,3,10,9,2,3,Sales Strategy,CRM Tools,7,6
30,Travel_Frequently,Research & Development,3,Technical Degree,514,3,Male,3,1,Research Scientist,4,2285,9,Yes,4,3,80,3,4,3,1,0,0,2,Data Analysis,Python,3,2
37,Travel_Rarely,Research & Development,3,Life Sciences,515,4,Female,3,1,Laboratory Technician,1,3034,1,No,3,3,80,18,2,2,18,7,2,3,Laboratory Operations,Quality Control,7,6
40,Travel_Rarely,Sales,2,Marketing,516,4,Female,3,2,Sales Executive,2,5715,7,No,3,3,80,8,5,3,5,4,1,2,Sales Strategy,CRM Tools,4,3
42,Travel_Rarely,Research & Development,4,Life Sciences,517,2,Female,3,1,Laboratory Technician,1,2576,3,No,3,2,80,8,5,3,5,2,1,2,Laboratory Operations,Quality Control,4,3
37,Travel_Rarely,Research & Development,4,Life Sciences,518,3,Male,3,2,Manufacturing Director,2,4197,2,Yes,3,4,80,18,2,2,1,0,1,1,Operations Management,Process Optimization,5,4
43,Travel_Rarely,Research & Development,3,Life Sciences,520,1,Male,2,4,Research Director,2,14336,1,No,3,3,80,25,3,3,25,10,2,2,Research Leadership,Strategic Planning,7,6
40,Travel_Rarely,Research & Development,3,Medical,521,2,Female,2,2,Laboratory Technician,3,3448,6,No,4,2,80,20,3,3,1,0,1,4,Laboratory Operations,Quality Control,6,5
54,Travel_Rarely,Research & Development,2,Medical,522,1,Male,3,5,Research Director,1,19406,4,No,3,3,80,24,4,2,4,2,2,1,Research Leadership,Strategic Planning,6,5
34,Non-Travel,Sales,4,Marketing,523,3,Female,3,2,Sales Executive,3,6538,9,No,3,1,80,6,3,3,3,2,1,2,Sales Strategy,CRM Tools,4,3
31,Travel_Rarely,Research & Development,2,Medical,524,2,Female,3,2,Manufacturing Director,1,4306,1,No,3,2,80,13,5,1,13,10,1,3,Operations Management,Process Optimization,6,5
43,Travel_Frequently,Research & Development,3,Medical,525,4,Male,3,1,Laboratory Technician,4,2258,7,No,4,1,80,8,1,3,3,2,1,3,Laboratory Operations,Quality Control,5,4
43,Travel_Rarely,Research & Development,4,Other,526,3,Female,3,2,Healthcare Representative,3,4522,4,Yes,3,4,80,8,3,3,5,2,1,1,Medical Sales,Product Knowledge,4,3
25,Travel_Rarely,Sales,2,Life Sciences,527,2,Female,2,2,Sales Executive,4,4487,1,Yes,3,2,80,5,3,3,5,4,1,1,Sales Strategy,CRM Tools,4,3
37,Non-Travel,Research & Development,5,Medical,529,2,Female,3,2,Research Scientist,3,4449,3,Yes,3,1,80,15,2,3,13,11,1,4,Data Analysis,Python,6,5
31,Travel_Rarely,Research & Development,2,Life Sciences,530,4,Male,2,1,Laboratory Technician,1,2218,1,No,3,3,80,4,3,3,4,2,1,2,Laboratory Operations,Quality Control,3,2
39,Travel_Frequently,Research & Development,1,Life Sciences,531,2,Male,3,5,Manager,3,19197,1,Yes,3,3,80,21,3,3,21,8,2,1,People Management,Project Planning,7,6
56,Travel_Frequently,Sales,3,Life Sciences,532,3,Female,4,4,Sales Executive,1,13212,9,No,3,4,80,36,0,2,7,7,2,2,Sales Strategy,CRM Tools,7,6
30,Travel_Rarely,Sales,3,Technical Degree,533,2,Female,3,2,Sales Executive,3,6577,0,No,3,2,80,6,6,3,5,4,1,2,Sales Strategy,CRM Tools,4,3
41,Travel_Rarely,Sales,3,Marketing,534,2,Male,4,3,Sales Executive,1,8392,1,No,3,3,80,10,2,3,10,7,2,3,Sales Strategy,CRM Tools,7,6
28,Travel_Rarely,Research & Development,2,Medical,536,3,Male,3,2,Laboratory Technician,1,4558,1,No,3,4,80,10,2,3,10,0,1,3,Laboratory Operations,Quality Control,5,4
25,Travel_Rarely,Research & Development,3,Medical,538,1,Male,3,1,Laboratory Technician,1,4031,5,No,3,3,80,6,5,3,2,2,1,2,Laboratory Operations,Quality Control,4,3
52,Travel_Rarely,Research & Development,3,Medical,543,4,Male,2,3,Manufacturing Director,3,7969,2,Yes,3,3,80,28,4,3,5,4,2,1,Operations Management,Process Optimization,6,5
45,Travel_Rarely,Research & Development,2,Life Sciences,544,1,Male,3,1,Research Scientist,4,2654,3,No,4,4,80,8,3,2,2,2,1,4,Data Analysis,Python,5,4
52,Travel_Rarely,Research & Development,2,Life Sciences,546,4,Female,3,4,Manager,4,16555,2,No,3,4,80,31,2,1,5,2,2,1,People Management,Project Planning,6,5
42,Travel_Frequently,Research & Development,2,Life Sciences,547,1,Female,3,2,Research Scientist,3,4556,2,No,3,2,80,19,3,3,5,4,1,4,Data Analysis,Python,5,4
30,Travel_Rarely,Research & Development,3,Life Sciences,548,3,Female,1,2,Manufacturing Director,4,6091,2,No,4,3,80,11,2,3,5,4,1,3,Operations Management,Process Optimization,6,5
60,Travel_Rarely,Research & Development,3,Life Sciences,549,1,Female,3,5,Manager,1,19566,5,No,3,4,80,33,5,1,29,8,2,1,People Management,Project Planning,7,6
46,Travel_Rarely,Research & Development,3,Medical,550,3,Female,3,2,Manufacturing Director,3,4810,2,No,3,3,80,19,5,2,10,7,1,3,Operations Management,Process Optimization,6,5
42,Travel_Frequently,Research & Development,4,Technical Degree,551,4,Female,2,2,Healthcare Representative,4,4523,0,No,3,4,80,7,4,4,6,5,1,3,Medical Sales,Product Knowledge,5,4
24,Travel_Rarely,Sales,1,Technical Degree,554,1,Female,3,1,Sales Representative,2,3202,1,Yes,3,2,80,6,4,3,5,3,1,1,Client Acquisition,Negotiation,4,3
34,Travel_Frequently,Sales,2,Marketing,555,4,Female,1,1,Sales Representative,3,2351,0,No,3,4,80,3,3,2,2,2,0,1,Client Acquisition,Negotiation,2,1
38,Travel_Frequently,Research & Development,2,Life Sciences,556,4,Male,3,1,Laboratory Technician,4,1702,1,Yes,4,3,80,1,3,3,1,0,0,1,Laboratory Operations,Quality Control,3,2
40,Travel_Rarely,Sales,4,Life Sciences,558,3,Female,3,5,Manager,3,18041,0,No,3,4,80,21,2,3,20,15,2,1,People Management,Project Planning,7,6
26,Travel_Rarely,Research & Development,3,Life Sciences,560,1,Female,3,1,Research Scientist,4,2886,1,No,4,2,80,3,3,1,3,2,0,3,Data Analysis,Python,3,2
30,Non-Travel,Research & Development,3,Life Sciences,562,3,Male,3,1,Laboratory Technician,4,2097,4,No,3,3,80,9,3,1,5,3,1,3,Laboratory Operations,Quality Control,4,3
29,Travel_Rarely,Research & Development,4,Medical,564,2,Male,2,3,Research Director,3,11935,1,No,3,3,80,10,2,3,10,2,2,2,Research Leadership,Strategic Planning,6,5
29,Travel_Rarely,Research & Development,5,Technical Degree,565,3,Female,2,1,Research Scientist,2,2546,5,No,3,2,80,6,2,4,2,2,1,3,Data Analysis,Python,4,3
19,Travel_Rarely,Human Resources,2,Technical Degree,566,1,Male,2,1,Human Resources,4,2564,1,No,3,3,80,1,3,4,1,0,0,1,Talent Management,Employee Engagement,2,1
30,Non-Travel,Sales,4,Other,567,3,Female,3,3,Sales Executive,1,8412,0,No,3,3,80,10,3,3,9,8,2,3,Sales Strategy,CRM Tools,7,6
57,Travel_Rarely,Sales,3,Marketing,568,1,Male,2,4,Manager,4,14118,3,No,3,3,80,32,3,2,1,0,2,1,People Management,Project Planning,6,5
50,Travel_Rarely,Research & Development,4,Life Sciences,569,2,Male,2,4,Manager,3,17046,0,No,3,2,80,28,2,3,27,10,2,1,People Management,Project Planning,7,6
30,Non-Travel,Research & Development,3,Medical,571,3,Female,3,1,Laboratory Technician,4,2564,0,No,3,3,80,12,2,2,11,7,2,3,Laboratory Operations,Quality Control,7,6
60,Travel_Frequently,Sales,3,Marketing,573,3,Female,2,3,Sales Executive,1,10266,4,No,3,4,80,22,5,4,18,13,2,3,Sales Strategy,CRM Tools,7,6
47,Travel_Rarely,Research & Development,2,Medical,574,1,Female,3,2,Manufacturing Director,4,5070,5,No,3,3,80,20,2,3,5,0,1,2,Operations Management,Process Optimization,5,4
46,Travel_Rarely,Research & Development,3,Life Sciences,575,1,Male,3,4,Research Director,3,17861,6,No,3,3,80,26,2,1,3,2,2,1,Research Leadership,Strategic Planning,6,5
35,Travel_Rarely,Research & Development,3,Life Sciences,577,4,Male,1,1,Laboratory Technician,3,4230,0,No,3,3,80,6,2,3,5,4,1,2,Laboratory Operations,Quality Control,4,3
54,Travel_Rarely,Research & Development,4,Life Sciences,578,3,Female,3,2,Laboratory Technician,3,3780,7,No,3,3,80,19,3,3,1,0,1,3,Laboratory Operations,Quality Control,5,4
34,Travel_Rarely,Research & Development,4,Life Sciences,579,4,Male,2,1,Research Scientist,3,2768,3,No,3,3,80,14,3,3,7,3,2,3,Data Analysis,Python,6,5
46,Travel_Rarely,Sales,3,Marketing,580,3,Female,2,3,Sales Executive,4,9071,2,Yes,3,3,80,15,3,3,3,2,2,1,Sales Strategy,CRM Tools,6,5
31,Travel_Rarely,Research & Development,1,Life Sciences,581,3,Male,3,3,Manufacturing Director,2,10648,1,No,4,4,80,13,6,4,13,8,2,3,Operations Management,Process Optimization,8,7
33,Travel_Rarely,Research & Development,1,Medical,582,2,Male,3,3,Manager,3,13610,7,Yes,3,4,80,15,2,4,7,6,2,1,People Management,Project Planning,7,6
33,Travel_Rarely,Research & Development,1,Medical,584,1,Male,1,1,Laboratory Technician,4,3408,7,No,3,1,80,8,2,3,4,3,1,2,Laboratory Operations,Quality Control,4,3
30,Travel_Rarely,Sales,1,Marketing,585,4,Male,3,1,Sales Representative,2,2983,0,No,3,1,80,4,3,3,3,2,1,2,Client Acquisition,Negotiation,3,2
35,Travel_Rarely,Research & Development,3,Life Sciences,586,4,Male,3,3,Healthcare Representative,3,7632,4,Yes,3,3,80,10,2,3,8,7,2,2,Medical Sales,Product Knowledge,7,6
31,Travel_Frequently,Research & Development,3,Life Sciences,587,1,Male,3,3,Healthcare Representative,3,9824,3,No,3,1,80,12,2,3,1,0,2,2,Medical Sales,Product Knowledge,6,5
34,Travel_Frequently,Human Resources,3,Human Resources,590,2,Female,3,3,Human Resources,1,9950,9,Yes,3,3,80,11,2,3,3,2,2,1,Talent Management,Employee Engagement,6,5
42,Travel_Frequently,Research & Development,2,Other,591,2,Male,3,1,Laboratory Technician,3,2093,4,No,3,4,80,8,4,3,2,2,1,2,Laboratory Operations,Quality Control,4,3
36,Non-Travel,Sales,4,Medical,592,2,Male,3,3,Sales Executive,4,9980,1,No,3,4,80,10,3,2,10,3,2,2,Sales Strategy,CRM Tools,6,5
22,Travel_Frequently,Research & Development,1,Technical Degree,593,3,Male,2,1,Laboratory Technician,3,3894,5,No,3,3,80,4,3,3,2,2,1,2,Laboratory Operations,Quality Control,3,2
48,Travel_Rarely,Sales,5,Marketing,595,2,Female,3,2,Sales Executive,4,4051,2,No,3,1,80,14,2,3,9,7,1,4,Sales Strategy,CRM Tools,6,5
55,Travel_Rarely,Sales,5,Life Sciences,597,1,Female,3,4,Manager,2,16835,3,No,4,4,80,37,2,3,10,9,2,2,People Management,Project Planning,8,7
41,Non-Travel,Sales,2,Life Sciences,599,4,Male,3,2,Sales Executive,4,6230,7,No,3,4,80,16,3,3,14,3,1,3,Sales Strategy,CRM Tools,5,4
35,Travel_Rarely,Sales,3,Marketing,600,2,Male,3,2,Sales Executive,3,4717,9,No,3,3,80,15,2,3,11,9,1,4,Sales Strategy,CRM Tools,6,5
40,Travel_Rarely,Research & Development,3,Life Sciences,601,2,Female,3,4,Manufacturing Director,3,13237,7,No,3,3,80,22,3,3,20,6,2,1,Operations Management,Process Optimization,7,6
39,Travel_Frequently,Research & Development,1,Life Sciences,602,3,Female,3,1,Laboratory Technician,3,3755,1,No,3,1,80,8,3,3,8,3,1,2,Laboratory Operations,Quality Control,4,3
31,Travel_Rarely,Sales,1,Life Sciences,604,2,Male,3,2,Sales Executive,4,6582,4,Yes,3,3,80,10,2,4,6,5,1,3,Sales Strategy,CRM Tools,6,5
42,Travel_Rarely,Research & Development,3,Medical,605,4,Male,3,3,Manufacturing Director,1,7406,1,Yes,4,4,80,10,5,2,10,9,2,2,Operations Management,Process Optimization,8,7
45,Travel_Rarely,Sales,3,Other,606,4,Male,3,2,Sales Executive,2,4805,0,No,3,2,80,9,3,4,8,7,1,4,Sales Strategy,CRM Tools,5,4
26,Travel_Frequently,Human Resources,4,Life Sciences,608,2,Female,3,1,Human Resources,3,2741,0,Yes,3,2,80,8,2,2,7,7,1,2,Talent Management,Employee Engagement,5,4
29,Travel_Rarely,Research & Development,3,Technical Degree,611,4,Male,3,2,Manufacturing Director,4,4262,4,No,3,2,80,8,2,4,3,2,1,1,Operations Management,Process Optimization,4,3
33,Travel_Rarely,Research & Development,5,Medical,612,1,Female,4,4,Research Director,3,16184,4,No,3,3,80,10,2,3,6,1,2,1,Research Leadership,Strategic Planning,6,5
31,Travel_Rarely,Sales,3,Life Sciences,613,3,Male,2,3,Manager,4,11557,9,No,4,3,80,10,3,2,5,4,2,2,People Management,Project Planning,7,6
18,Travel_Frequently,Sales,3,Marketing,614,2,Male,3,1,Sales Representative,2,1878,1,Yes,3,4,80,0,3,3,0,0,0,1,Client Acquisition,Negotiation,2,1
40,Non-Travel,Sales,3,Other,615,3,Male,1,3,Sales Executive,1,10932,3,No,3,3,80,20,2,3,1,0,2,2,Sales Strategy,CRM Tools,6,5
41,Non-Travel,Research & Development,4,Other,616,1,Female,2,2,Healthcare Representative,3,6811,2,Yes,3,1,80,10,3,3,8,7,1,3,Medical Sales,Product Knowledge,6,5
26,Travel_Rarely,Sales,2,Medical,618,1,Male,3,2,Sales Executive,3,4306,5,No,3,1,80,8,5,3,0,0,1,2,Sales Strategy,CRM Tools,4,3
35,Travel_Rarely,Sales,3,Medical,620,1,Female,3,2,Sales Executive,3,4859,1,No,3,4,80,5,3,3,5,4,1,2,Sales Strategy,CRM Tools,4,3
34,Travel_Rarely,Sales,4,Life Sciences,621,4,Male,4,2,Sales Executive,4,5337,1,No,3,4,80,10,3,3,10,7,1,4,Sales Strategy,CRM Tools,6,5
26,Travel_Rarely,Research & Development,3,Technical Degree,622,3,Male,1,1,Laboratory Technician,4,2340,1,Yes,3,2,80,1,3,1,1,0,0,1,Laboratory Operations,Quality Control,2,1
37,Travel_Rarely,Research & Development,3,Technical Degree,623,2,Female,3,3,Manufacturing Director,4,7491,4,No,3,4,80,12,3,4,6,5,2,2,Operations Management,Process Optimization,7,6
46,Travel_Frequently,Research & Development,1,Medical,624,1,Female,3,3,Healthcare Representative,3,10527,5,No,3,4,80,28,3,2,2,2,2,2,Medical Sales,Product Knowledge,6,5
41,Travel_Rarely,Sales,5,Life Sciences,625,2,Female,3,4,Manager,1,16595,7,No,3,2,80,22,2,3,18,16,2,1,People Management,Project Planning,7,6
37,Non-Travel,Sales,4,Medical,626,1,Male,3,3,Sales Executive,2,8834,1,No,3,4,80,9,6,3,9,5,1,4,Sales Strategy,CRM Tools,5,4
52,Travel_Rarely,Research & Development,2,Technical Degree,630,4,Male,3,2,Research Scientist,1,5577,3,Yes,3,2,80,18,3,3,10,9,1,4,Data Analysis,Python,6,5
32,Non-Travel,Sales,4,Other,631,4,Male,4,2,Sales Executive,3,4707,8,No,3,4,80,6,2,3,4,2,1,2,Sales Strategy,CRM Tools,4,3
24,Travel_Frequently,Sales,3,Medical,632,4,Male,3,1,Sales Representative,4,2400,0,No,3,3,80,3,3,3,2,2,0,1,Client Acquisition,Negotiation,2,1
38,Travel_Rarely,Research & Development,3,Medical,634,3,Female,3,2,Healthcare Representative,3,9824,3,No,3,3,80,18,4,3,1,0,1,3,Medical Sales,Product Knowledge,5,4
37,Travel_Rarely,Research & Development,4,Life Sciences,635,2,Female,3,2,Manufacturing Director,2,6447,6,No,3,2,80,8,2,2,6,5,1,2,Operations Management,Process Optimization,5,4
49,Travel_Rarely,Research & Development,4,Life Sciences,638,4,Male,2,5,Research Director,3,19502,1,Yes,3,3,80,31,5,3,31,9,2,1,Research Leadership,Strategic Planning,7,6
24,Travel_Rarely,Research & Development,3,Medical,639,2,Male,4,1,Research Scientist,4,2725,1,Yes,3,2,80,6,3,3,6,5,1,3,Data Analysis,Python,5,4
26,Travel_Rarely,Sales,2,Marketing,641,1,Male,3,2,Sales Executive,2,6272,1,No,4,4,80,6,5,4,5,3,1,3,Sales Strategy,CRM Tools,5,4
24,Travel_Rarely,Research & Development,2,Other,643,4,Male,2,1,Laboratory Technician,2,2127,1,No,4,4,80,1,2,3,1,0,0,2,Laboratory Operations,Quality Control,3,2
